series_id,title,popularity,frequency
FEDFUNDS,Federal Funds Effective Rate,100,Monthly
GDP,Gross Domestic Product,94,Quarterly
GDPC1,Real Gross Domestic Product,94,Quarterly
DFF,Federal Funds Effective Rate,89,"Daily, 7-Day"
GFDEGDQ188S,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,87,Quarterly
RECPROUSM156N,Smoothed U.S. Recession Probabilities,85,Monthly
PAYEMS,"All Employees, Total Nonfarm",85,Monthly
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,83,Monthly
CORESTICKM159SFRBATL,Sticky Price Consumer Price Index less Food and Energy,83,Monthly
CIVPART,Labor Force Participation Rate,82,Monthly
PCE,Personal Consumption Expenditures,81,Monthly
PSAVERT,Personal Saving Rate,80,Monthly
CES0500000003,"Average Hourly Earnings of All Employees, Total Private",80,Monthly
ACTLISCOUUS,Housing Inventory: Active Listing Count in the United States,79,Monthly
JTSJOL,Job Openings: Total Nonfarm,79,Monthly
A939RX0Q048SBEA,Real gross domestic product per capita,78,Quarterly
TOTALSA,Total Vehicle Sales,78,Monthly
PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index),77,Monthly
FYFSGDA188S,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product,76,Annual
CPALTT01USM657N,Consumer Price Index: All Items: Total for United States,75,Monthly
PCEC96,Real Personal Consumption Expenditures,75,Monthly
A191RL1Q225SBEA,Real Gross Domestic Product,75,Quarterly
GDPDEF,Gross Domestic Product: Implicit Price Deflator,73,Quarterly
DPCCRV1Q225SBEA,Personal Consumption Expenditures (PCE) Excluding Food and Energy (Chain-Type Price Index),73,Quarterly
A091RC1Q027SBEA,Federal government current expenditures: Interest payments,73,Quarterly
DSPIC96,Real Disposable Personal Income,73,Monthly
FGEXPND,Federal Government: Current Expenditures,73,Quarterly
USEPUINDXD,Economic Policy Uncertainty Index for United States,73,"Daily, 7-Day"
FEDTARMD,"FOMC Summary of Economic Projections for the Fed Funds Rate, Median",73,Annual
BOPGSTB,"Trade Balance: Goods and Services, Balance of Payments Basis",73,Monthly
GDPNOW,GDPNow,72,Quarterly
NROU,Noncyclical Rate of Unemployment,71,Quarterly
UNEMPLOY,Unemployment Level,71,Monthly
U6RATE,"Total Unemployed, Plus All Persons Marginally Attached to the Labor Force, Plus Total Employed Part Time for Economic Reasons, as a Percent of the Civilian Labor Force Plus All Persons Marginally Attached to the Labor Force (U-6)",71,Monthly
HTRUCKSSAAR,Motor Vehicle Retail Sales: Heavy Weight Trucks,70,Monthly
CP,Corporate Profits After Tax (without IVA and CCAdj),69,Quarterly
STLENI,St. Louis Fed Economic News Index: Real GDP Nowcast,69,Quarterly
USREC,NBER based Recession Indicators for the United States from the Period following the Peak through the Trough,69,Monthly
IRLTLT01USM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States,69,Monthly
IRLTLT01JPM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Japan,69,Monthly
ALTSALES,Light Weight Vehicle Sales: Autos and Light Trucks,68,Monthly
POPTHM,Population,67,Monthly
FYONGDA188S,Federal Net Outlays as Percent of Gross Domestic Product,66,Annual
A229RX0,Real Disposable Personal Income: Per Capita,65,Monthly
GDPA,Gross Domestic Product,65,Annual
MABMM301USM189S,Monetary Aggregates and Their Components: Broad Money and Components: M3 for United States,65,Monthly
GFDGDPA188S,Gross Federal Debt as Percent of Gross Domestic Product,65,Annual
GPDIC1,Real Gross Private Domestic Investment,64,Quarterly
TTLHH,Total Households,64,Annual
COMREPUSQ159N,Commercial Real Estate Prices for United States,64,Quarterly
FYFRGDA188S,Federal Receipts as Percent of Gross Domestic Product,64,Annual
DSPI,Disposable Personal Income,64,Monthly
GPDI,Gross Private Domestic Investment,64,Quarterly
IRLTLT01DEM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Germany,63,Monthly
B235RC1Q027SBEA,Federal government current tax receipts: Taxes on production and imports: Customs duties,63,Quarterly
ACTLISCOUFL,Housing Inventory: Active Listing Count in Florida,63,Monthly
PCECC96,Real Personal Consumption Expenditures,63,Quarterly
IRLTLT01GBM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United Kingdom,63,Monthly
USSLIND,Leading Index for the United States,63,Monthly
WEI,Weekly Economic Index (Lewis-Mertens-Stock),62,"Weekly, Ending Saturday"
